close_code,breached_reason_code,contact_type,self_service,reopened,has_knowledge_article,reassignment_count,appl_tier,caller_vip,kcs_solution,days_to_resolve,user_dissatisfied,sla_breached,caller_is_employee,priority_is_4,company,group,application
No Resolution Action,Received late or Breached,self-service,1,0,0,3.0,,0,,15,0,1,1,0,C54325,G57624,A57097
No Resolution Action,No Activity- Autoclosed,self-service,1,0,0,1.0,Gold,0,,15,0,1,0,1,C54325,G44017,A88667
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,6,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,2,0,0,0,0,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,2,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,chat,1,0,0,0.0,Gold,0,,0,0,0,0,1,C85436,G97489,A88667
Information Provided / Training,,chat,1,0,1,0.0,Gold,0,KB000010100058,4,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,0,1,0,1,0,C85436,G97489,A88667
Information Provided / Training,,chat,1,0,1,0.0,Gold,0,KB000010100058,4,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,2,0,0,0,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,2.0,Gold,0,,5,0,0,0,1,C85436,G97489,A88667
Information Provided / Training,,chat,1,0,0,1.0,Gold,0,,4,0,0,0,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,3,0,0,0,1,C85436,G97489,A88667
Data Correction,Received late or Breached,self-service,1,0,0,1.0,Gold,0,,8,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,1,0,0,1,0,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,1,C85436,G97489,A88667
No Resolution Action,No Activity- Autoclosed,chat,1,1,0,1.0,Gold,0,,11,1,1,1,0,C85436,G97489,A88667
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,1,0,0,0,0,C85436,G97489,A88667
No Resolution Action,,chat,1,0,0,0.0,Gold,0,,0,0,0,0,1,C85436,G97489,A88667
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,0,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,chat,1,0,1,1.0,Gold,0,KB000010113687,3,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,2,0,0,1,1,C85436,G97489,A88667
No Resolution Action,Received late or Breached,self-service,1,0,0,0.0,Gold,0,,5,1,1,0,0,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,3,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,1.0,Gold,0,,5,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,2,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,1,0,0.0,Gold,0,,4,1,0,1,1,C85436,G97489,A88667
No Resolution Action,,phone,0,0,0,3.0,Gold,0,,1,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,chat,1,0,0,0.0,Gold,0,,3,1,0,1,1,C85436,G97489,A88667
Information Provided / Training,,chat,1,0,1,1.0,Gold,0,KB000010100058,1,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,1.0,Gold,0,,0,1,0,1,0,C85436,G97489,A88667
No Resolution Action,,phone,0,1,0,1.0,Gold,0,,6,1,0,0,1,C85436,G97489,A88667
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,0,0,0,0,1,C85436,G97489,A88667
Information Provided / Training,Complex Resolution,chat,1,0,0,0.0,Gold,0,,7,0,1,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,1.0,Gold,0,KB000010100058,0,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,Received late or Breached,self-service,1,0,0,0.0,Gold,0,,15,1,1,1,1,C85436,G97489,A88667
No Resolution Action,,phone,0,1,1,3.0,Gold,0,KB000010078242,3,1,0,0,0,C85436,G97489,A88667
Information Provided / Training,,chat,1,0,1,1.0,Gold,0,KB000010101648,4,0,0,0,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,0,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,1,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,1.0,Gold,0,,2,0,0,0,1,C85436,G97489,A88667
No Resolution Action,Received late or Breached,chat,1,0,0,1.0,Gold,0,,15,0,1,0,0,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,0,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,0,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,7,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,5,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,1.0,Gold,0,KB000010100058,1,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,1.0,Gold,0,,1,0,0,1,0,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,1,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,chat,1,0,1,0.0,Gold,0,KB000010100058,2,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,chat,1,0,1,1.0,Gold,0,KB000010116016,4,0,0,0,1,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,1,0,0,1,1,C85436,G97489,A88667
No Resolution Action,Received late or Breached,chat,1,1,0,6.0,Gold,0,,15,1,1,1,1,C85436,G97489,A88667
No Resolution Action,,chat,1,0,0,2.0,Gold,0,,1,0,0,0,0,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,1.0,Gold,0,KB000010100058,0,0,0,1,0,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,1.0,Gold,0,KB000010100973,6,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,chat,1,0,0,1.0,Gold,0,,1,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,0,0,0,0,1,C85436,G97489,A88667
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,7,0,0,0,1,C85436,G97489,A88667
Information Provided / Training,,chat,1,0,1,1.0,Gold,0,KB000010100058,0,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,1.0,Gold,0,KB000010100058,0,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,1,0,0,1,1,C85436,G97489,A88667
Data Correction,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,chat,1,1,0,0.0,Gold,0,,7,1,1,1,1,C85436,G97489,A88667
Data Correction,,self-service,1,0,0,0.0,Gold,0,,1,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,2.0,Gold,0,,3,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,chat,1,0,0,4.0,Gold,0,,1,0,0,0,1,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,1.0,Gold,0,,2,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,0,C85436,G97489,A88667
Data Correction,,self-service,1,0,0,0.0,Gold,0,,1,0,0,0,0,C85436,G97489,A88667
Information Provided / Training,Complex Resolution,self-service,1,0,0,0.0,Gold,0,,15,0,1,1,1,C85436,G97489,A88667
Data Correction,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,0,C85436,G97489,A88667
No Resolution Action,,chat,1,0,0,2.0,Gold,0,,3,0,0,0,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,1,0,0.0,Gold,0,,7,1,1,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,1.0,Gold,0,KB000010100058,1,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,0,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,1.0,Gold,0,,5,0,0,0,1,C85436,G97489,A88667
Data Correction,,self-service,1,0,0,1.0,Gold,0,,2,0,0,0,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,4,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,0,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,1.0,Gold,0,,1,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,chat,1,0,0,2.0,Gold,0,,2,0,0,0,1,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,1,0,0,1,1,C85436,G97489,A88667
No Resolution Action,Change Implementation,self-service,1,0,0,0.0,Gold,0,,14,0,1,0,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,4.0,Gold,0,,5,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,1.0,Gold,0,,5,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,0,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,phone,0,0,1,1.0,Gold,0,KB000010091485,3,0,0,0,1,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,1,1.0,Gold,0,KB000010100973,7,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,3,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100058,0,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,0,0,0,0,0,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,2.0,Gold,0,,4,0,0,0,0,C85436,G97489,A88667
No Resolution Action,,chat,1,0,0,2.0,Gold,0,,2,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,chat,1,0,0,0.0,Gold,0,,0,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,1.0,Gold,0,,3,0,0,1,1,C85436,G97489,A88667
Data Correction,Received late or Breached,self-service,1,0,0,0.0,Gold,0,,8,0,1,0,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,0.0,Gold,0,KB000010100973,4,1,0,1,1,C85436,G97489,A88667
Information Provided / Training,Received late or Breached,self-service,1,1,0,1.0,Gold,0,,15,1,1,0,1,C85436,G97489,A88667
Information Provided / Training,Complex Resolution,chat,1,1,0,0.0,Gold,0,,8,1,1,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,0,0,0,0,0,C85436,G97489,A88667
Information Provided / Training,Complex Resolution,chat,1,1,0,1.0,Gold,0,,15,1,1,1,1,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,4,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,1,0,0,0,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,1,1.0,Gold,0,KB000010100973,5,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,2,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,phone,0,0,0,1.0,Gold,0,,6,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,1,0,0,0,0,C85436,G97489,A88667
No Resolution Action,,chat,1,0,0,0.0,Gold,0,,1,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,chat,1,0,0,2.0,Gold,0,,2,0,0,1,1,C85436,G97489,A88667
Data Correction,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,0,C85436,G97489,A88667
Information Provided / Training,,chat,1,0,0,1.0,Gold,0,,0,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,chat,1,0,0,0.0,Gold,0,,1,0,0,1,0,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,1,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,6,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,chat,1,0,0,1.0,Gold,0,,0,0,0,0,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,1.0,Gold,0,,3,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,chat,1,0,0,0.0,Gold,0,,0,0,0,1,1,C85436,G97489,A88667
Information Provided / Training,,self-service,1,0,0,0.0,Gold,0,,0,0,0,1,1,C85436,G97489,A88667
No Resolution Action,,self-service,1,0,0,0.0,Gold,0,,7,0,0,1,1,C85436,G97489,A88667
